No.,Year,Trts_consumers_removal,vertical_complexity ,horizontal_complexity ,PlotID,plant_richness,inverse_Simpson,plant_evenness,shannon,total_biomass_planted
1,2009,Control,High vertical complexity,1,id107,1,1,1,1,1.8
2,2009,Control,High vertical complexity,1,id132,1,1,1,1,15.4
3,2009,Control,High vertical complexity,1,id142,1,1,1,1,70.3
4,2009,Control,High vertical complexity,1,id148,1,1,1,1,20
5,2009,Control,High vertical complexity,1,id15,1,1,1,1,8.7
7,2009,Control,High vertical complexity,1,id165,1,1,1,1,102.6
8,2009,Control,High vertical complexity,1,id184,1,1,1,1,9.1
10,2009,Control,High vertical complexity,1,id29,1,1,1,1,24.3
11,2009,Control,High vertical complexity,1,id3,1,1,1,1,99.5
12,2009,Control,High vertical complexity,1,id44,1,1,1,1,128
13,2009,Control,High vertical complexity,1,id51,1,1,1,1,269.9
14,2009,Control,High vertical complexity,1,id64,1,1,1,1,108.3
15,2009,Control,High vertical complexity,1,id98,1,1,1,1,16.2
16,2010,Control,High vertical complexity,1,id107,1,1,1,1,6.3
17,2010,Control,High vertical complexity,1,id123,1,1,1,1,8
18,2010,Control,High vertical complexity,1,id132,1,1,1,1,12.9
19,2010,Control,High vertical complexity,1,id142,1,1,1,1,301.3
20,2010,Control,High vertical complexity,1,id148,1,1,1,1,145.8
22,2010,Control,High vertical complexity,1,id165,1,1,1,1,161
23,2010,Control,High vertical complexity,1,id184,1,1,1,1,9.9
25,2010,Control,High vertical complexity,1,id29,1,1,1,1,8.3
26,2010,Control,High vertical complexity,1,id3,1,1,1,1,196.8
27,2010,Control,High vertical complexity,1,id44,1,1,1,1,104.6
28,2010,Control,High vertical complexity,1,id51,1,1,1,1,204.5
29,2010,Control,High vertical complexity,1,id64,1,1,1,1,124.1
30,2010,Control,High vertical complexity,1,id98,1,1,1,1,5.2
31,2011,Control,High vertical complexity,1,id107,1,1,1,1,0.1
32,2011,Control,High vertical complexity,1,id123,1,1,1,1,11.2
33,2011,Control,High vertical complexity,1,id132,1,1,1,1,23.7
34,2011,Control,High vertical complexity,1,id142,1,1,1,1,41.7
35,2011,Control,High vertical complexity,1,id148,1,1,1,1,33.1
36,2011,Control,High vertical complexity,1,id15,1,1,1,1,0.1
38,2011,Control,High vertical complexity,1,id165,1,1,1,1,139.1
40,2011,Control,High vertical complexity,1,id29,1,1,1,1,48.6
41,2011,Control,High vertical complexity,1,id3,1,1,1,1,130.4
42,2011,Control,High vertical complexity,1,id44,1,1,1,1,55.3
43,2011,Control,High vertical complexity,1,id51,1,1,1,1,195.3
44,2011,Control,High vertical complexity,1,id64,1,1,1,1,172.2
45,2011,Control,High vertical complexity,1,id98,1,1,1,1,91.6
46,2012,Control,High vertical complexity,1,id107,1,1,1,1,0.3
47,2012,Control,High vertical complexity,1,id132,1,1,1,1,38
48,2012,Control,High vertical complexity,1,id142,1,1,1,1,192.5
49,2012,Control,High vertical complexity,1,id148,1,1,1,1,156.7
50,2012,Control,High vertical complexity,1,id15,1,1,1,1,9.3
52,2012,Control,High vertical complexity,1,id165,1,1,1,1,40.5
