No.,Trts_consumers_removal,vertical_complexity ,horizontal_complexity ,PlotID,plant_richness,inverse_Simpson,plant_evenness,shannon,spe_sta,spe_asy,com_sta,tmp_mean,tmp_sd
1,Control,High vertical complexity,1,id107,0.692307692,1,1.444444444,1,0.43020615,1,0.43020615,0.750769231,1.745138302
2,Control,High vertical complexity,1,id123,0.153846154,1,6.5,1,0.403109971,1,0.403109971,1.476923077,3.66382174
3,Control,High vertical complexity,1,id132,1,1,1,1,0.785959395,1,0.785959395,36.1,45.93112598
4,Control,High vertical complexity,1,id142,1,1,1,1,0.999818869,1,0.999818869,83.99230769,84.00752408
5,Control,High vertical complexity,1,id148,1,1,1,1,1.309051749,1,1.309051749,70.03076923,53.4973268
6,Control,High vertical complexity,1,id15,0.692307692,1,1.444444444,1,0.656852271,1,0.656852271,4.3,6.546373042
7,Control,High vertical complexity,1,id165,1,1,1,1,1.793797611,1,1.793797611,99.85384615,55.66617188
8,Control,High vertical complexity,1,id184,0.384615385,1,2.6,1,0.492560742,1,0.492560742,2.945384615,5.979738867
9,Control,High vertical complexity,1,id200,0.230769231,1,4.333333333,1,0.277350098,1,0.277350098,0.030769231,0.110940039
10,Control,High vertical complexity,1,id29,0.923076923,1,1.083333333,1,0.73156732,1,0.73156732,10.95384615,14.97312122
11,Control,High vertical complexity,1,id3,1,1,1,1,1.64004206,1,1.64004206,81.22307692,49.52499628
12,Control,High vertical complexity,1,id44,1,1,1,1,2.358689172,1,2.358689172,87.88461538,37.2599393
13,Control,High vertical complexity,1,id51,1,1,1,1,1.663019178,1,1.663019178,260.2538462,156.4947955
14,Control,High vertical complexity,1,id64,1,1,1,1,2.480045817,1,2.480045817,125.7846154,50.71866596
15,Control,High vertical complexity,1,id98,1,1,1,1,1.487010646,1,1.487010646,48.84615385,32.84855693
16,Control,High vertical complexity,4,id104,3,1.805950588,0.601983529,2.146057498,1.223519744,1.286274061,1.573781711,230.5384615,146.4869365
17,Control,High vertical complexity,4,id154,3.538461538,1.968703988,0.556372866,2.316539806,1.243004945,1.923748067,2.39122836,170.02,71.1015321
18,Control,High vertical complexity,4,id190,3,1.997429105,0.665809702,2.305098622,1.255107435,1.415905189,1.77711313,173.8769231,97.84234899
19,Control,High vertical complexity,4,id47,2.846153846,1.769190495,0.621607471,2.060187946,0.906928198,1.429422617,1.296383678,148.3769231,114.4544826
20,Control,High vertical complexity,4,id59,2.615384615,1.296777505,0.495826693,1.503533351,1.410415506,1.217119323,1.716643966,98.73076923,57.51383
21,Control,High vertical complexity,4,id69,2.461538462,1.371107492,0.557012419,1.56938006,0.819744379,1.18305729,0.969804564,128.5615385,132.5643777
22,Control,High vertical complexity,4,id75,2.692307692,1.861200849,0.691303172,2.063133199,1.60045267,1.492396769,2.388510394,223.47,93.56040509
23,Control,High vertical complexity,4,id87,1.923076923,1.175340379,0.611176997,1.298505612,1.176323324,1.060711727,1.247739945,121.0846154,97.04315059
24,Control,High vertical complexity,4,id93,3.846153846,2.004549603,0.521182897,2.427135666,1.519257642,1.640021014,2.491614458,149.7461538,60.10005013
25,Control,High vertical complexity,16,id118,7.769230769,2.523269928,0.324777317,3.664767524,0.83182382,2.914620007,2.424450349,364.4230769,150.3116271
26,Control,High vertical complexity,16,id138,8,2.594778408,0.324347301,3.677449849,1.263825968,2.634938629,3.330103863,612.6107692,183.9614602
27,Control,High vertical complexity,16,id172,6.384615385,2.96592826,0.46454298,3.747197916,0.887935603,2.220571761,1.971724726,318.4923077,161.5298036
28,Control,High vertical complexity,16,id176,9,3.238989084,0.359887676,4.53849365,0.887846221,3.883737419,3.44816159,250.2615385,72.57825132
29,Control,High vertical complexity,16,id193,5.538461538,2.179477307,0.393516736,2.927505985,0.905334992,1.684508043,1.525044076,258.86,169.7393565
30,Control,High vertical complexity,16,id24,7.692307692,3.291084242,0.427840952,4.283923642,0.846298485,3.646509391,3.086035373,254.5353846,82.47973656
31,Control,High vertical complexity,16,id37,7.076923077,3.211834176,0.453846134,4.186578833,0.806194328,2.657357551,2.142346584,286.4769231,133.7210913
32,Control,High vertical complexity,16,id78,7.769230769,2.399231405,0.308811963,3.410773069,1.004773469,2.362962258,2.374241785,404.5676923,170.398691
33,Control,High vertical complexity,16,id82,6.923076923,2.763071285,0.399110297,3.797582656,0.73395562,2.255354737,1.655330284,243.8692308,147.3236086
34,SoilDrenchFungicide,Moderate vertical complexity,1,id100,1,1,1,1,0.784101641,1,0.784101641,47.84615385,61.02034654
35,SoilDrenchFungicide,Moderate vertical complexity,1,id106,0.538461538,1,1.857142857,1,0.551657797,1,0.551657797,0.397692308,0.720903991
36,SoilDrenchFungicide,Moderate vertical complexity,1,id11,0.769230769,1,1.3,1,0.937127319,1,0.937127319,13.75384615,14.67660357
37,SoilDrenchFungicide,Moderate vertical complexity,1,id135,1,1,1,1,1.654963689,1,1.654963689,46.02307692,27.80911583
38,SoilDrenchFungicide,Moderate vertical complexity,1,id143,1,1,1,1,0.980132319,1,0.980132319,39.17692308,39.97105523
39,SoilDrenchFungicide,Moderate vertical complexity,1,id150,1,1,1,1,1.864850804,1,1.864850804,72.83846154,39.05859996
40,SoilDrenchFungicide,Moderate vertical complexity,1,id164,1,1,1,1,1.266509622,1,1.266509622,75.01538462,59.23001556
41,SoilDrenchFungicide,Moderate vertical complexity,1,id185,0.538461538,1,1.857142857,1,0.638528164,1,0.638528164,20.94,32.79416818
42,SoilDrenchFungicide,Moderate vertical complexity,1,id27,0.769230769,1,1.3,1,0.747810744,1,0.747810744,29.25384615,39.11931781
43,SoilDrenchFungicide,Moderate vertical complexity,1,id4,1,1,1,1,1.251756609,1,1.251756609,64.97692308,51.908592
44,SoilDrenchFungicide,Moderate vertical complexity,1,id45,1,1,1,1,1.243258366,1,1.243258366,76.13846154,61.2410611
45,SoilDrenchFungicide,Moderate vertical complexity,1,id52,1,1,1,1,1.544209826,1,1.544209826,209.1076923,135.4140408
46,SoilDrenchFungicide,Moderate vertical complexity,1,id63,1,1,1,1,0.96304665,1,0.96304665,75.7,78.60470724
47,SoilDrenchFungicide,Moderate vertical complexity,4,id101,2.769230769,1.905422108,0.688069095,2.202630533,1.009643087,1.305930943,1.318524149,196.6615385,149.152777
48,SoilDrenchFungicide,Moderate vertical complexity,4,id153,3.692307692,2.086958844,0.56521802,2.4044651,1.115745261,1.28400098,1.432618009,175.6769231,122.6264936
49,SoilDrenchFungicide,Moderate vertical complexity,4,id189,3.230769231,1.808433659,0.559753275,2.142287906,0.94981129,1.3376966,1.270559334,197.8615385,155.7279013
50,SoilDrenchFungicide,Moderate vertical complexity,4,id46,2.923076923,1.796622607,0.61463405,2.112095073,1.133256219,1.398990573,1.585414767,150.5230769,94.94239617
51,SoilDrenchFungicide,Moderate vertical complexity,4,id58,2.461538462,1.139480274,0.462913861,1.266697048,1.519547595,1.13493349,1.724585455,158.1838462,91.72282282
52,SoilDrenchFungicide,Moderate vertical complexity,4,id66,2.769230769,1.72169518,0.621723259,1.951131742,1.350193751,1.211216255,1.635376619,118.8769231,72.69085401
